aX,aY,aZ,gX,gY,gZ
0.943,-0.550,1.542,84.534,387.146,135.620
0.826,-0.605,1.719,95.886,395.569,126.221
0.602,-0.854,2.162,93.567,391.174,110.168
0.320,-0.867,2.664,55.603,369.263,84.595
0.125,-0.528,2.739,-10.193,327.515,49.622
0.079,-0.364,2.629,-56.274,273.682,10.620
0.209,-0.206,2.463,-71.533,212.402,-30.029
0.387,-0.239,2.157,-57.373,145.264,-66.956
0.539,-0.286,1.829,-27.283,80.322,-95.032
0.640,-0.248,1.483,0.061,21.240,-110.474
0.672,-0.167,1.148,18.494,-25.757,-112.366
0.673,-0.061,0.947,29.114,-55.725,-105.774
0.699,0.052,0.855,39.978,-70.679,-97.839
0.751,0.169,0.780,58.044,-72.205,-92.041
0.788,0.292,0.696,71.594,-64.148,-88.135
0.726,0.319,0.712,75.134,-48.767,-85.449
0.802,0.314,1.075,64.880,-29.663,-86.365
0.825,0.226,1.507,13.794,-17.090,-88.501
0.768,0.045,1.840,-56.641,-20.508,-97.900
0.729,0.081,2.027,-116.028,-41.077,-123.352
0.696,0.103,2.163,-143.982,-75.562,-158.630
0.644,0.118,2.162,-157.593,-116.272,-192.993
0.565,0.112,2.073,-168.579,-156.006,-215.759
0.482,0.082,1.979,-171.204,-190.857,-223.450
0.446,0.051,1.932,-170.837,-218.750,-216.309
0.441,0.050,1.940,-168.823,-240.234,-195.679
0.410,0.046,1.836,-159.912,-256.104,-164.917
0.301,-0.013,1.515,-132.141,-262.024,-130.310
0.181,0.018,1.466,-78.308,-247.253,-99.854
0.124,0.076,1.511,-34.119,-218.201,-69.702
0.165,0.102,1.436,0.549,-188.843,-37.598
0.275,0.110,1.394,44.922,-160.461,-10.681
0.367,0.118,1.409,84.229,-136.108,10.010
0.387,0.074,1.438,110.779,-117.310,25.085
0.360,0.048,1.536,126.770,-107.361,32.288
0.309,0.007,1.547,136.902,-105.286,28.076
0.263,-0.041,1.447,137.634,-109.375,13.855
0.243,-0.070,1.320,125.183,-113.220,-6.958
0.231,-0.057,1.232,101.807,-113.403,-31.433
0.218,-0.033,1.189,75.684,-108.887,-56.091
0.205,-0.024,1.151,51.392,-100.769,-78.735
0.218,0.013,1.108,28.442,-90.759,-97.473
0.264,0.018,1.093,8.301,-79.468,-111.755
0.302,0.031,1.161,-8.484,-67.993,-121.765
0.271,0.002,1.259,-24.902,-58.838,-127.686
