aX,aY,aZ,gX,gY,gZ
0.411,1.461,0.753,-387.939,1.587,71.167
0.369,1.435,0.801,-366.028,-1.343,80.750
0.329,1.438,0.820,-335.693,-7.690,87.463
0.306,1.440,0.791,-304.993,-18.005,94.666
0.289,1.416,0.729,-276.550,-29.114,104.492
0.256,1.395,0.671,-252.869,-38.940,117.493
0.235,1.356,0.615,-231.873,-46.143,132.446
0.232,1.307,0.552,-211.975,-50.049,147.461
0.230,1.265,0.493,-191.223,-49.622,159.790
0.229,1.244,0.446,-169.800,-46.021,168.518
0.235,1.215,0.419,-146.423,-41.321,174.683
0.235,1.193,0.378,-118.164,-35.950,178.650
0.210,1.200,0.266,-87.646,-30.579,180.298
0.210,1.174,0.177,-60.913,-23.010,181.274
0.239,1.111,0.135,-37.476,-13.550,181.213
0.259,1.024,0.093,-14.893,-4.578,178.955
0.255,0.946,0.045,2.686,2.991,173.950
0.245,0.872,0.016,14.221,10.376,166.077
0.246,0.802,0.001,19.226,16.968,156.677
0.251,0.763,-0.003,18.799,22.644,145.691
0.246,0.777,0.008,15.381,26.855,133.545
0.240,0.804,0.035,11.292,29.480,121.704
0.247,0.802,0.070,7.751,30.151,110.840
0.239,0.775,0.107,5.920,28.870,100.891
0.284,0.768,0.143,5.859,24.780,90.149
0.331,0.767,0.163,5.432,18.127,79.834
0.356,0.764,0.173,5.615,10.803,70.313
0.371,0.746,0.183,7.385,2.563,61.340
0.377,0.719,0.193,9.521,-5.554,52.917
0.372,0.696,0.195,11.963,-14.282,44.312
0.355,0.677,0.185,14.587,-22.827,35.217
0.339,0.670,0.172,17.151,-30.151,25.696
0.323,0.667,0.154,20.264,-35.339,15.930
0.306,0.665,0.128,23.437,-38.391,5.371
0.279,0.681,0.099,27.283,-38.635,-4.944
0.237,0.726,0.068,31.067,-36.499,-15.381
0.178,0.789,0.035,33.875,-32.288,-24.170
0.122,0.841,0.004,34.607,-26.489,-30.518
0.085,0.904,-0.021,33.630,-20.142,-33.813
0.055,0.909,-0.014,32.227,-13.855,-33.997
0.014,0.909,-0.046,29.541,-8.911,-33.264
-0.029,0.919,-0.067,25.818,-3.601,-33.936
-0.075,0.940,-0.080,21.118,1.831,-35.645
-0.120,0.977,-0.072,16.357,7.629,-37.354
-0.165,1.012,-0.063,12.146,13.733,-37.964
-0.202,1.040,-0.049,9.644,20.508,-37.842
-0.229,1.073,-0.026,9.827,27.710,-37.048
-0.248,1.107,0.003,11.597,35.461,-35.828
-0.255,1.122,0.043,14.282,42.908,-33.875
-0.252,1.112,0.077,17.456,48.889,-31.433
-0.242,1.091,0.110,20.691,53.650,-29.236
-0.232,1.075,0.148,23.743,57.373,-27.893
-0.222,1.058,0.183,26.978,59.387,-27.283
-0.211,1.045,0.201,31.433,59.387,-27.527
-0.195,1.029,0.225,36.194,57.312,-28.381
-0.176,1.020,0.221,40.344,53.284,-29.175
-0.148,1.004,0.220,43.396,47.852,-29.236
-0.116,0.996,0.222,43.823,41.748,-29.297
-0.085,0.993,0.226,41.687,34.607,-29.236
-0.057,0.979,0.241,37.476,27.222,-29.236
-0.033,0.979,0.270,31.921,19.470,-29.236
-0.015,0.981,0.291,26.306,10.681,-29.053
-0.003,0.988,0.281,22.278,0.671,-28.992
0.011,0.986,0.273,20.996,-8.850,-28.992
0.031,0.968,0.265,20.203,-17.334,-29.175
0.051,0.944,0.256,17.944,-24.658,-29.785
0.072,0.906,0.238,15.015,-29.907,-29.968
0.091,0.889,0.245,12.939,-32.715,-29.968
0.104,0.840,0.230,12.024,-33.325,-29.602
0.116,0.814,0.238,11.719,-32.471,-29.602
0.121,0.790,0.229,11.780,-30.518,-30.640
0.133,0.767,0.227,12.939,-27.527,-33.508
0.143,0.778,0.238,14.160,-23.560,-37.781
0.141,0.793,0.240,16.418,-19.531,-42.297
0.143,0.781,0.245,19.653,-15.808,-46.692
0.146,0.802,0.257,22.095,-12.146,-51.392
0.139,0.832,0.260,22.583,-9.399,-55.603
0.138,0.850,0.293,21.973,-7.263,-58.472
0.149,0.885,0.335,20.325,-6.470,-60.669
0.147,0.928,0.346,18.005,-7.751,-62.439
0.144,0.947,0.359,18.616,-10.193,-63.232
0.139,0.949,0.372,20.142,-13.367,-63.843
0.132,0.952,0.383,20.203,-16.602,-64.331
0.118,0.982,0.395,19.165,-20.264,-64.575
